date,team,site,o:team,line,total
20121030,Cavaliers,home,Wizards,-5.5,189
20121030,Wizards,away,Cavaliers,5.5,189
20121030,Heat,home,Celtics,-7,186.5
20121030,Celtics,away,Heat,7,186.5
20121030,Lakers,home,Mavericks,-8.5,186.5
20121030,Mavericks,away,Lakers,8.5,186.5
20121031,Bulls,home,Kings,-6.5,189
20121031,Kings,away,Bulls,6.5,189
20121031,Clippers,home,Grizzlies,-4,188
20121031,Grizzlies,away,Clippers,4,188
20121031,Pelicans,home,Spurs,7,189
20121031,Spurs,away,Pelicans,-7,189
20121031,Jazz,home,Mavericks,-8.5,190
20121031,Mavericks,away,Jazz,8.5,190
20121031,Pistons,home,Rockets,-1.5,192.5
20121031,Rockets,away,Pistons,1.5,192.5
20121031,Raptors,home,Pacers,2,188
20121031,Pacers,away,Raptors,-2,188
20121031,Seventysixers,home,Nuggets,-1,198.5
20121031,Nuggets,away,Seventysixers,1,198.5
20121031,Suns,home,Warriors,-2,200.5
20121031,Warriors,away,Suns,2,200.5
20121031,Trailblazers,home,Lakers,2.5,191.5
20121031,Lakers,away,Trailblazers,-2.5,191.5
20121101,Spurs,home,Thunder,-2.5,202
20121101,Thunder,away,Spurs,2.5,202
20121102,Hornets,home,Pacers,6.5,183.5
20121102,Pacers,away,Hornets,-6.5,183.5
20121102,Cavaliers,home,Bulls,3,184
20121102,Bulls,away,Cavaliers,-3,184
20121102,Celtics,home,Bucks,-7,196
20121102,Bucks,away,Celtics,7,196
20121102,Hawks,home,Rockets,-5.5,203
20121102,Rockets,away,Hawks,5.5,203
20121102,Pelicans,home,Jazz,3.5,189.5
20121102,Jazz,away,Pelicans,-3.5,189.5
20121102,Knicks,home,Heat,6,198
20121102,Heat,away,Knicks,-6,198
20121102,Lakers,home,Clippers,1.5,191
20121102,Clippers,away,Lakers,-1.5,191
20121102,Magic,home,Nuggets,6,197
20121102,Nuggets,away,Magic,-6,197
20121102,Suns,home,Pistons,-4.5,193.5
20121102,Pistons,away,Suns,4.5,193.5
20121102,Thunder,home,Trailblazers,-8.5,203.5
20121102,Trailblazers,away,Thunder,8.5,203.5
20121102,Timberwolves,home,Kings,-3,195
20121102,Kings,away,Timberwolves,3,195
20121102,Warriors,home,Grizzlies,1,192.5
20121102,Grizzlies,away,Warriors,-1,192.5
20121103,Bucks,home,Cavaliers,-7,196.5
20121103,Cavaliers,away,Bucks,7,196.5
20121103,Bulls,home,Pelicans,-9.5,184.5
20121103,Pelicans,away,Bulls,9.5,184.5
20121103,Clippers,home,Warriors,-8.5,196
20121103,Warriors,away,Clippers,8.5,196
20121103,Heat,home,Nuggets,-8.5,201
20121103,Nuggets,away,Heat,8.5,201
20121103,Mavericks,home,Hornets,-10,187
20121103,Hornets,away,Mavericks,10,187
20121103,Nets,home,Raptors,-5.5,194
20121103,Raptors,away,Nets,5.5,194
20121103,Pacers,home,Kings,-8,190.5
20121103,Kings,away,Pacers,8,190.5
20121103,Rockets,home,Trailblazers,-5.5,204
20121103,Trailblazers,away,Rockets,5.5,204
20121103,Spurs,home,Jazz,-7.5,200
20121103,Jazz,away,Spurs,7.5,200
20121103,Wizards,home,Celtics,5.5,191
20121103,Celtics,away,Wizards,-5.5,191
20121104,Knicks,home,Seventysixers,-4,187.5
20121104,Seventysixers,away,Knicks,4,187.5
20121104,Lakers,home,Pistons,-8,190
20121104,Pistons,away,Lakers,8,190
20121104,Magic,home,Suns,-1.5,193
20121104,Suns,away,Magic,1.5,193
20121104,Raptors,home,Timberwolves,-3,189
20121104,Timberwolves,away,Raptors,3,189
20121104,Thunder,home,Hawks,-9.5,198.5
20121104,Hawks,away,Thunder,9.5,198.5
20121105,Clippers,home,Cavaliers,-10.5,197
20121105,Cavaliers,away,Clippers,10.5,197
20121105,Grizzlies,home,Jazz,-5.5,195.5
20121105,Jazz,away,Grizzlies,5.5,195.5
20121105,Heat,home,Suns,-13.5,200
20121105,Suns,away,Heat,13.5,200
20121105,Kings,home,Warriors,-2,200
20121105,Warriors,away,Kings,2,200
20121105,Mavericks,home,Trailblazers,-4.5,199
20121105,Trailblazers,away,Mavericks,4.5,199
20121105,Nets,home,Timberwolves,-7.5,195
20121105,Timberwolves,away,Nets,7.5,195
20121105,Seventysixers,home,Knicks,-3,184.5
20121105,Knicks,away,Seventysixers,3,184.5
20121105,Spurs,home,Pacers,-8.5,195.5
20121105,Pacers,away,Spurs,8.5,195.5
20121106,Bulls,home,Magic,-9,186.5
20121106,Magic,away,Bulls,9,186.5
20121106,Nuggets,home,Pistons,-10.5,199
20121106,Pistons,away,Nuggets,10.5,199
20121106,Thunder,home,Raptors,-9,197.5
20121106,Raptors,away,Thunder,9,197.5
20121107,Hornets,home,Suns,3,194
20121107,Suns,away,Hornets,-3,194
20121107,Bucks,home,Grizzlies,1,198
20121107,Grizzlies,away,Bucks,-1,198
20121107,Celtics,home,Wizards,-10,187
20121107,Wizards,away,Celtics,10,187
20121107,Clippers,home,Spurs,1,201
20121107,Spurs,away,Clippers,-1,201
20121107,Hawks,home,Pacers,-3.5,190.5
20121107,Pacers,away,Hawks,3.5,190.5
20121107,Heat,home,Nets,-10.5,207.5
20121107,Nets,away,Heat,10.5,207.5
20121107,Pelicans,home,Seventysixers,1,179.5
20121107,Seventysixers,away,Pelicans,-1,179.5
20121107,Jazz,home,Lakers,-3.5,196.5
20121107,Lakers,away,Jazz,3.5,196.5
20121107,Kings,home,Pistons,-6,192
20121107,Pistons,away,Kings,6,192
20121107,Mavericks,home,Raptors,-6,198.5
20121107,Raptors,away,Mavericks,6,198.5
