,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PFD,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PLUS_MINUS,NEXT_GAME_ID,NEXT_PLUS_MINUS,NEXT_MATCHUP
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100.0,last_game
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100.0,last_game
41700111,42017.0,1610612738.0,BOS,Boston Celtics,2018-04-15,BOS vs. MIL,W,113.0,39.0,94.0,0.415,11.0,26.0,0.423,24.0,27.0,0.889,11.0,34.0,45.0,20.0,8.0,5.0,15.0,21.0,102.8,105.6,98.6,99.1,4.3,6.5,0.513,1.33,14.2,0.193,0.7829999999999999,0.515,13.651,14.0,0.473,0.534,1.0,0.202,98.92,97.36,81.13,107.0,0.522,0.287,0.53,0.289,0.184,0.217,27.0,22.0,10.0,44.0,18.0,4.0,16.0,58.0,8.0,31.0,0.723,0.277,0.496,0.106,0.292,0.08800000000000001,0.212,0.239,0.389,0.5,0.5,0.545,0.455,0.513,0.487,6.0,41700112,14.0,BOS vs. MIL
41700112,42017.0,1610612738.0,BOS,Boston Celtics,2018-04-17,BOS vs. MIL,W,116.5,43.5,92.0,0.474,12.0,28.5,0.421,17.5,22.5,0.75,10.0,31.5,41.5,22.0,9.0,5.5,10.0,18.5,113.94999999999999,116.65,106.6,106.55,7.4,10.1,0.5065,2.38,16.4,0.1945,0.7994999999999999,0.5255000000000001,10.474499999999999,10.7,0.5395,0.5735,1.0,0.199,96.56,95.43,79.525,100.5,0.546,0.2435,0.5865,0.255,0.173,0.2005,24.0,21.0,12.5,52.0,14.0,6.5,15.5,59.0,6.0,25.0,0.6895,0.3105,0.5395,0.0945,0.3085,0.10650000000000001,0.152,0.207,0.4445,0.4355,0.5645,0.6955,0.3045,0.5065,0.4935,14.0,41700113,-24.0,BOS @ MIL
41700113,42017.0,1610612738.0,BOS,Boston Celtics,2018-04-20,BOS @ MIL,L,108.33333333333333,39.666666666666664,88.0,0.4493333333333333,10.666666666666666,27.0,0.3916666666666666,18.333333333333332,24.333333333333332,0.738,12.333333333333334,30.333333333333332,42.666666666666664,20.333333333333332,7.0,4.0,12.0,17.333333333333332,108.83333333333333,112.60000000000001,115.2,115.46666666666665,-6.333333333333332,-2.866666666666667,0.5146666666666667,1.8999999999999997,15.399999999999999,0.23466666666666666,0.7943333333333333,0.5406666666666667,13.412333333333331,13.966666666666667,0.5096666666666666,0.5483333333333333,1.0,0.19800000000000004,94.52666666666666,92.78666666666668,77.32333333333334,96.33333333333333,0.4773333333333334,0.27899999999999997,0.6146666666666666,0.2333333333333333,0.14966666666666664,0.2056666666666667,19.0,19.333333333333332,14.333333333333334,48.666666666666664,16.0,6.333333333333333,15.333333333333334,50.666666666666664,8.0,25.666666666666668,0.693,0.307,0.5336666666666666,0.08466666666666667,0.2926666666666667,0.13633333333333333,0.17366666666666666,0.17066666666666666,0.4486666666666667,0.443,0.557,0.7136666666666667,0.28633333333333333,0.5146666666666667,0.48533333333333334,-24.0,41700114,-2.0,BOS @ MIL
41700114,42017.0,1610612738.0,BOS,Boston Celtics,2018-04-22,BOS @ MIL,L,106.75,38.75,87.75,0.44049999999999995,10.5,27.5,0.37999999999999995,18.75,24.5,0.7535000000000001,13.25,29.5,42.75,20.75,6.75,3.75,11.0,18.25,109.65,112.475,114.80000000000001,115.175,-5.124999999999999,-2.7,0.5387500000000001,2.0349999999999997,15.825,0.24875,0.8180000000000001,0.5455000000000001,12.531749999999999,12.95,0.5,0.54125,1.0,0.1985,93.715,92.34,76.95,95.0,0.46825000000000006,0.28099999999999997,0.60825,0.25725,0.13949999999999999,0.18200000000000002,18.25,18.75,12.25,45.0,13.5,5.75,14.5,49.5,9.5,25.25,0.6864999999999999,0.3135,0.5277499999999999,0.10750000000000001,0.293,0.117,0.17925000000000002,0.16725,0.41975,0.46675,0.53325,0.73525,0.26475,0.5387500000000001,0.46125,-2.0,41700115,5.0,BOS vs. MIL
41700115,42017.0,1610612738.0,BOS,Boston Celtics,2018-04-24,BOS vs. MIL,W,103.8,36.8,84.0,0.4364,10.4,28.2,0.3685999999999999,19.8,26.0,0.7528,11.6,32.6,44.2,21.0,6.8,4.4,12.2,18.8,106.88,109.55999999999999,109.28000000000002,110.46,-2.3799999999999994,-0.9000000000000001,0.5828,1.8719999999999999,16.24,0.22279999999999997,0.8096,0.5424000000000001,13.772199999999998,14.180000000000001,0.4986,0.5438,1.0,0.1984,94.56,92.772,77.31,94.8,0.4934,0.3176,0.5706,0.25179999999999997,0.1336,0.1904,17.6,16.0,10.6,42.4,13.0,6.4,14.0,45.2,8.2,24.8,0.6594,0.3406,0.5047999999999999,0.099,0.2996,0.1022,0.19560000000000002,0.16640000000000002,0.40540000000000004,0.4998,0.5002,0.7882,0.2118,0.5828,0.41719999999999996,5.0,41700116,-11.0,BOS @ MIL
41700116,42017.0,1610612738.0,BOS,Boston Celtics,2018-04-26,BOS @ MIL,L,100.83333333333333,35.666666666666664,83.5,0.42533333333333334,10.333333333333334,29.5,0.3534999999999999,19.166666666666668,24.833333333333332,0.7676666666666666,10.666666666666666,32.666666666666664,43.333333333333336,20.5,6.166666666666667,4.166666666666667,11.666666666666666,18.833333333333332,104.58333333333333,107.23333333333333,109.38333333333334,110.21666666666665,-4.783333333333332,-2.983333333333334,0.5856666666666667,1.8933333333333333,16.116666666666664,0.2045,0.8088333333333333,0.5281666666666668,13.100833333333332,13.483333333333334,0.4875,0.5333333333333333,1.0,0.19816666666666669,93.85000000000001,92.22666666666667,76.855,94.0,0.4768333333333334,0.30383333333333334,0.5688333333333333,0.2565,0.13216666666666665,0.19116666666666668,15.666666666666666,14.833333333333334,9.5,41.333333333333336,13.166666666666666,6.666666666666667,15.833333333333334,46.0,7.333333333333333,23.333333333333332,0.6421666666666667,0.3578333333333334,0.4981666666666666,0.09033333333333333,0.30783333333333335,0.09300000000000001,0.19400000000000003,0.15033333333333335,0.4076666666666667,0.5081666666666668,0.49183333333333334,0.7735,0.2265,0.5856666666666667,0.4143333333333333,-11.0,41700117,16.0,BOS vs. MIL
41700117,42017.0,1610612738.0,BOS,Boston Celtics,2018-04-28,BOS vs. MIL,W,102.42857142857143,37.0,83.57142857142857,0.44114285714285717,10.142857142857142,29.0,0.35242857142857137,18.285714285714285,24.285714285714285,0.7464285714285713,10.714285714285714,32.42857142857143,43.142857142857146,21.571428571428573,6.571428571428571,4.142857142857143,12.0,19.428571428571427,106.10000000000001,108.75714285714285,108.35714285714288,109.21428571428571,-2.2428571428571424,-0.4571428571428576,0.5908571428571429,1.8900000000000001,16.757142857142856,0.211,0.8141428571428572,0.5352857142857144,13.432999999999998,13.814285714285715,0.502,0.5429999999999999,1.0,0.19785714285714287,94.09714285714287,92.48,77.0657142857143,94.14285714285714,0.4905714285714286,0.29614285714285715,0.5638571428571428,0.25457142857142856,0.13757142857142857,0.18585714285714286,15.714285714285714,14.714285714285714,9.142857142857142,44.0,13.714285714285714,6.857142857142857,13.571428571428571,46.0,6.714285714285714,22.857142857142858,0.6489999999999999,0.35100000000000003,0.5188571428571428,0.09271428571428572,0.2982857142857143,0.08871428571428572,0.18285714285714288,0.1492857142857143,0.42600000000000005,0.511,0.489,0.8058571428571428,0.19414285714285714,0.5908571428571429,0.40914285714285714,16.0,41700211,16.0,BOS vs. PHI
41700211,42017.0,1610612738.0,BOS,Boston Celtics,2018-04-30,BOS vs. PHI,W,104.25,37.5,83.75,0.44625000000000004,11.0,29.75,0.3691249999999999,18.25,23.625,0.7715,10.0,32.25,42.25,22.25,6.25,4.125,11.75,19.625,107.7125,110.39999999999999,107.51250000000002,108.85,0.20000000000000062,1.5499999999999996,0.599375,1.99125,17.249999999999996,0.19849999999999998,0.79575,0.525625,13.02475,13.387500000000001,0.512,0.5535,1.0,0.198,94.69500000000001,92.8575,77.38000000000001,94.375,0.5,0.287125,0.549875,0.2755,0.1355,0.20425,16.625,14.5,9.625,43.5,14.0,8.25,13.125,46.0,6.125,22.375,0.6413749999999999,0.358625,0.50525,0.08962500000000001,0.3155,0.0915,0.17925000000000002,0.15525000000000003,0.41550000000000004,0.52,0.48,0.80075,0.19924999999999998,0.599375,0.400625,16.0,41700212,5.0,BOS vs. PHI
