,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PFD,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PLUS_MINUS,NEXT_GAME_ID,NEXT_PLUS_MINUS,NEXT_MATCHUP
41600131,42016.0,1610612737.0,ATL,Atlanta Hawks,2017-04-16,ATL @ WAS,L,107.0,34.0,78.0,0.436,7.0,25.0,0.28,32.0,39.0,0.821,13.0,35.0,48.0,18.0,5.0,3.0,19.0,22.0,103.7,107.0,109.1,114.0,-5.4,-7.0,0.529,0.86,13.4,0.28300000000000003,0.643,,20.357,21.0,0.481,0.562,1.0,0.196,103.82,100.0,83.33,100.0,0.451,0.5,0.49,0.17,0.115,0.35700000000000004,16.0,18.0,16.0,46.0,23.0,8.0,25.0,54.0,9.0,25.0,0.679,0.321,0.505,0.075,0.196,0.15,0.299,0.15,0.43,0.444,0.556,0.857,0.14300000000000002,0.529,0.471,-7.0,41600132,-8.0,ATL @ WAS
41600132,42016.0,1610612737.0,ATL,Atlanta Hawks,2017-04-19,ATL @ WAS,L,104.0,33.0,78.5,0.4205,5.5,22.5,0.24000000000000002,32.5,38.5,0.8445,11.5,33.0,44.5,17.5,5.5,4.5,18.5,24.0,100.55000000000001,104.5,108.75,111.5,-8.25,-7.0,0.53,0.8999999999999999,13.2,0.24150000000000002,0.6745,0.495,18.8555,19.6,0.4555,0.545,1.0,0.1965,102.97,99.75,83.125,99.5,0.4425,0.4905,0.492,0.277,0.112,0.3255,14.0,12.5,10.0,45.0,23.0,10.0,20.5,47.0,9.5,27.0,0.7130000000000001,0.28700000000000003,0.5295,0.097,0.1575,0.095,0.313,0.1345,0.433,0.5075000000000001,0.49250000000000005,0.5535,0.4465,0.53,0.47,-8.0,41600133,18.0,ATL vs. WAS
41600133,42016.0,1610612737.0,ATL,Atlanta Hawks,2017-04-22,ATL vs. WAS,W,108.0,36.666666666666664,82.0,0.445,6.666666666666667,23.333333333333332,0.28,28.0,36.333333333333336,0.761,11.333333333333334,35.0,46.333333333333336,20.333333333333332,5.666666666666667,4.666666666666667,16.0,21.666666666666668,104.2,106.83333333333333,102.8,105.43333333333334,1.3333333333333333,1.3999999999999997,0.5503333333333333,1.3233333333333333,14.933333333333332,0.23433333333333337,0.7200000000000001,0.495,16.413666666666668,16.900000000000002,0.48533333333333334,0.551,1.0,0.19633333333333333,103.96,101.33333333333333,84.44333333333333,101.0,0.5066666666666667,0.447,0.4796666666666667,0.25966666666666666,0.124,0.28,15.666666666666666,11.333333333333334,9.666666666666666,50.0,19.333333333333332,8.333333333333334,21.333333333333332,42.666666666666664,7.666666666666667,27.333333333333332,0.7150000000000002,0.28500000000000003,0.5539999999999999,0.09333333333333334,0.18266666666666667,0.08933333333333333,0.26333333333333336,0.14433333333333334,0.461,0.5193333333333333,0.48066666666666674,0.6283333333333333,0.37166666666666665,0.5503333333333333,0.44966666666666666,18.0,41600134,10.0,ATL vs. WAS
41600134,42016.0,1610612737.0,ATL,Atlanta Hawks,2017-04-24,ATL vs. WAS,W,108.75,37.5,84.0,0.44475,8.0,25.25,0.30675,25.75,33.5,0.76075,11.5,35.5,47.0,21.25,6.0,3.75,15.0,21.25,105.625,108.15,102.07499999999999,104.575,3.5,3.5749999999999997,0.56275,1.4925,15.575,0.23225,0.7322500000000001,0.5095000000000001,15.2805,15.700000000000001,0.49175,0.5507500000000001,1.0,0.19674999999999998,103.235,100.75,83.9575,100.5,0.5197499999999999,0.40475,0.48175,0.2625,0.13,0.26775000000000004,15.75,12.75,10.75,48.5,18.25,11.0,19.0,39.5,7.0,26.75,0.70025,0.29975,0.54175,0.097,0.21800000000000003,0.0985,0.24025000000000002,0.14425,0.44475,0.55025,0.44975000000000004,0.59625,0.40375,0.56275,0.43725,10.0,41600135,-4.0,ATL @ WAS
41600135,42016.0,1610612737.0,ATL,Atlanta Hawks,2017-04-26,ATL @ WAS,L,106.8,37.6,85.8,0.43759999999999993,8.2,26.4,0.3034,23.4,31.0,0.742,11.4,34.8,46.2,21.6,5.4,3.4,14.2,21.2,103.85999999999999,107.82000000000001,104.08,105.58,-0.2600000000000001,2.2399999999999998,0.5711999999999999,1.6119999999999997,15.839999999999998,0.22440000000000002,0.7380000000000001,0.524,14.3762,14.920000000000002,0.4848,0.5374000000000001,1.0,0.1976,102.0,99.3,82.75,99.0,0.49899999999999994,0.369,0.4842000000000001,0.2758,0.1192,0.262,14.4,14.0,11.0,46.0,16.6,11.2,19.2,39.6,7.6,25.4,0.6936,0.3064,0.5506,0.122,0.229,0.10300000000000001,0.2204,0.1336,0.4286,0.5644,0.4356,0.5882,0.41180000000000005,0.5711999999999999,0.4288,-4.0,41600136,-16.0,ATL vs. WAS
41600136,42016.0,1610612737.0,ATL,Atlanta Hawks,2017-04-28,ATL vs. WAS,L,105.5,37.5,84.5,0.44366666666666665,8.333333333333334,27.333333333333332,0.2996666666666667,22.166666666666668,29.0,0.7586666666666666,11.333333333333334,33.0,44.333333333333336,22.333333333333332,6.0,3.3333333333333335,15.5,21.333333333333332,103.5,107.21666666666668,106.28333333333332,107.94999999999999,-2.8333333333333335,-0.7333333333333334,0.5931666666666666,1.5399999999999998,16.433333333333334,0.2306666666666667,0.7303333333333334,0.52275,15.746333333333334,16.3,0.49266666666666664,0.5433333333333333,1.0,0.19816666666666669,101.28000000000002,98.66666666666667,82.22166666666666,98.33333333333333,0.48616666666666664,0.3481666666666667,0.504,0.2833333333333333,0.12816666666666665,0.26966666666666667,14.833333333333334,13.5,11.0,46.0,18.333333333333332,10.333333333333334,20.666666666666668,39.333333333333336,7.5,24.833333333333332,0.6763333333333333,0.32366666666666666,0.5531666666666667,0.1185,0.23633333333333337,0.10433333333333333,0.21066666666666667,0.13999999999999999,0.4346666666666666,0.5715,0.42849999999999994,0.6568333333333333,0.3431666666666667,0.5931666666666666,0.4068333333333334,-16.0,0,100.0,last_game
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100.0,last_game
41600101,42016.0,1610612738.0,BOS,Boston Celtics,2017-04-16,BOS vs. CHI,L,102.0,37.0,86.0,0.43,14.0,38.0,0.368,14.0,19.0,0.737,12.0,24.0,36.0,27.0,9.0,4.0,15.0,20.0,103.7,107.4,105.9,111.6,-2.2,-4.2,0.73,1.69,19.7,0.235,0.481,0.398,16.267,16.8,0.512,0.54,1.0,0.196,99.24,95.0,79.17,95.0,0.464,0.221,0.473,0.253,0.19,0.519,17.0,15.0,14.0,38.0,18.0,23.0,11.0,44.0,7.0,18.0,0.5579999999999999,0.442,0.451,0.078,0.412,0.13699999999999998,0.13699999999999998,0.16699999999999998,0.373,0.609,0.391,0.929,0.071,0.73,0.27,-4.0,41600102,-14.0,BOS vs. CHI
41600102,42016.0,1610612738.0,BOS,Boston Celtics,2017-04-18,BOS vs. CHI,L,99.5,37.5,84.0,0.4465,12.0,35.5,0.3355,12.5,19.0,0.6579999999999999,11.5,25.5,37.0,26.5,7.5,4.0,15.5,18.5,102.7,104.75,111.25,114.19999999999999,-8.55,-9.45,0.7070000000000001,1.66,19.65,0.22949999999999998,0.5815,0.441,16.523,16.8,0.518,0.5385,1.0,0.1985,97.25,95.0,79.17,95.0,0.43400000000000005,0.2265,0.5175000000000001,0.20500000000000002,0.158,0.4185,12.5,13.5,11.5,45.0,20.5,18.5,12.5,44.0,6.5,17.5,0.578,0.42200000000000004,0.514,0.0595,0.3605,0.11499999999999999,0.125,0.12449999999999999,0.4545,0.626,0.374,0.8645,0.1355,0.7070000000000001,0.29300000000000004,-14.0,41600103,17.0,BOS @ CHI
41600103,42016.0,1610612738.0,BOS,Boston Celtics,2017-04-21,BOS @ CHI,W,101.0,38.666666666666664,84.66666666666667,0.4566666666666667,13.666666666666666,36.0,0.37666666666666665,10.0,15.0,0.6766666666666666,10.0,27.0,37.0,29.0,8.666666666666666,3.3333333333333335,14.333333333333334,16.333333333333332,104.93333333333334,107.10000000000001,105.13333333333333,107.3,-0.23333333333333428,-0.1999999999999993,0.7476666666666668,1.9799999999999998,21.433333333333334,0.20266666666666666,0.6033333333333334,0.441,15.573,15.866666666666667,0.5373333333333333,0.5536666666666666,1.0,0.19833333333333333,96.28000000000002,94.33333333333333,78.61333333333333,94.33333333333333,0.4913333333333334,0.17800000000000002,0.48800000000000004,0.19633333333333333,0.16933333333333334,0.39666666666666667,16.0,10.666666666666666,10.666666666666666,44.666666666666664,18.333333333333332,18.0,12.0,44.0,7.0,16.666666666666668,0.5753333333333334,0.4246666666666667,0.49666666666666665,0.052333333333333336,0.4036666666666666,0.10566666666666664,0.09933333333333333,0.15666666666666665,0.444,0.6673333333333332,0.33266666666666667,0.89,0.11,0.7476666666666668,0.25233333333333335,17.0,41600104,9.0,BOS @ CHI
