GAME_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PFD,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PLUS_MINUS,NEXT_GAME_ID,NEXT_PLUS_MINUS,NEXT_MATCHUP
21501165,22015,1610612754,IND,Indiana Pacers,2016-04-06,IND vs. CLE,W,102.25641025641026,38.43589743589744,85.02564102564102,0.4527179487179487,7.923076923076923,22.76923076923077,0.34558974358974354,17.46153846153846,23.102564102564102,0.7558717948717949,10.23076923076923,34.02564102564103,44.256410256410255,20.564102564102566,9.0,4.743589743589744,13.794871794871796,18.615384615384617,103.23589743589746,104.82820512820514,99.74871794871794,101.50512820512822,3.4871794871794863,3.3358974358974343,0.5327692307692308,1.5602564102564105,15.730769230769234,0.2053333333333333,0.7239117647058825,0.49903333333333333,14.248205128205127,14.48205128205128,0.4994358974358975,0.538076923076923,1.0,0.19915384615384615,98.3546153846154,96.71153846153847,80.59307692307691,97.53846153846153,0.5332307692307692,0.27574358974358976,0.4892307692307692,0.25464102564102564,0.15582051282051282,0.27694871794871795,18.666666666666668,14.0,13.153846153846153,40.46153846153846,15.76923076923077,12.256410256410257,10.23076923076923,39.794871794871796,4.564102564102564,20.256410256410255,0.7323333333333333,0.2677435897435898,0.600025641025641,0.20382051282051283,0.22848717948717953,0.12730769230769232,0.17138461538461539,0.18266666666666667,0.39620512820512827,0.46056410256410263,0.5394871794871794,0.819897435897436,0.18010256410256412,0.5327692307692308,0.4672307692307693,14.0,21501199,24.0,IND vs. BKN
21501199,22015,1610612754,IND,Indiana Pacers,2016-04-10,IND vs. BKN,W,102.925,38.675,85.05,0.45535,8.0,22.875,0.34712499999999996,17.575,23.2,0.75735,10.325,34.275,44.6,20.9,9.025,4.725,13.95,18.7,103.76000000000002,105.28000000000002,99.72,101.4675,4.0375,3.8249999999999984,0.53715,1.5637500000000002,15.897500000000003,0.20872499999999997,0.7239117647058825,0.49903333333333333,14.373325,14.594999999999999,0.5025000000000001,0.5410999999999999,1.0,0.19917500000000002,98.52475000000001,96.91875,80.76575,97.725,0.5360999999999999,0.27670000000000006,0.48854999999999993,0.25542499999999996,0.15545,0.27605,18.65,13.95,13.15,41.05,15.775,12.2,10.55,39.75,4.55,20.275,0.731175,0.26890000000000003,0.599375,0.20067500000000002,0.22917500000000005,0.12664999999999998,0.171375,0.1816,0.39870000000000005,0.4652750000000001,0.5347749999999999,0.8221250000000001,0.177875,0.53715,0.4628500000000001,24.0,21501212,12.0,IND vs. NYK
21501212,22015,1610612754,IND,Indiana Pacers,2016-04-12,IND vs. NYK,W,102.90243902439025,38.73170731707317,84.92682926829268,0.4567560975609756,7.951219512195122,22.78048780487805,0.34636585365853656,17.48780487804878,23.121951219512194,0.7559512195121951,10.268292682926829,34.24390243902439,44.51219512195122,21.024390243902438,9.048780487804878,4.682926829268292,13.926829268292684,18.48780487804878,103.85365853658539,105.44634146341465,99.67560975609756,101.3780487804878,4.17560975609756,4.0804878048780475,0.5395121951219513,1.5709756097560978,16.00243902439025,0.2082682926829268,0.7260857142857144,0.5007419354838709,14.382951219512195,14.614634146341462,0.5036585365853659,0.5419024390243902,1.0,0.19909756097560977,98.39926829268293,96.78658536585365,80.65560975609755,97.5609756097561,0.5368536585365853,0.2760487804878049,0.4891463414634146,0.25195121951219507,0.15590243902439024,0.2741951219512195,18.609756097560975,13.975609756097562,13.268292682926829,41.170731707317074,15.682926829268293,12.097560975609756,10.390243902439025,39.41463414634146,4.634146341463414,20.195121951219512,0.7319512195121951,0.26814634146341465,0.6014878048780488,0.20151219512195123,0.22787804878048784,0.12785365853658537,0.17053658536585367,0.18124390243902438,0.3999756097560976,0.46856097560975624,0.5314878048780486,0.8223902439024391,0.17760975609756097,0.5395121951219513,0.46048780487804886,12.0,41500113,-16.0,IND vs. TOR
41500113,42015,1610612754,IND,Indiana Pacers,2016-04-21,IND vs. TOR,L,102.47619047619048,38.42857142857143,84.52380952380952,0.45497619047619053,7.904761904761905,22.761904761904763,0.3446190476190476,17.714285714285715,23.357142857142858,0.7574285714285715,10.238095238095237,34.11904761904762,44.357142857142854,20.904761904761905,8.904761904761905,4.714285714285714,13.976190476190476,18.476190476190474,103.61666666666667,105.20952380952383,99.78095238095239,101.60714285714286,3.8333333333333326,3.614285714285713,0.5413095238095238,1.5559523809523812,15.952380952380954,0.20828571428571424,0.7224722222222223,0.49946875,14.487642857142857,14.72142857142857,0.5018095238095238,0.5412619047619047,1.0,0.19914285714285715,98.28928571428573,96.625,80.52095238095237,97.35714285714286,0.5349285714285713,0.28102380952380956,0.48864285714285716,0.24999999999999994,0.1548809523809524,0.27728571428571425,18.404761904761905,13.952380952380953,13.238095238095237,40.857142857142854,15.928571428571429,12.071428571428571,10.380952380952381,39.333333333333336,4.619047619047619,20.357142857142858,0.7306190476190476,0.26947619047619054,0.5983809523809525,0.2000714285714286,0.22750000000000004,0.12816666666666668,0.17404761904761903,0.17973809523809525,0.3982857142857143,0.46930952380952395,0.5307380952380951,0.8266190476190477,0.17338095238095239,0.5413095238095238,0.4586904761904763,-16.0,41500114,17.0,IND vs. TOR
41500114,42015,1610612754,IND,Indiana Pacers,2016-04-23,IND vs. TOR,W,102.4186046511628,38.46511627906977,84.53488372093024,0.45534883720930236,7.8604651162790695,22.6046511627907,0.3453255813953488,17.627906976744185,23.232558139534884,0.7579069767441862,10.348837209302326,33.97674418604651,44.325581395348834,20.976744186046513,8.930232558139535,4.72093023255814,13.930232558139535,18.558139534883722,103.76511627906979,105.3186046511628,99.48837209302326,101.36511627906977,4.274418604651163,3.965116279069766,0.5426744186046512,1.5627906976744186,16.011627906976745,0.21102325581395345,0.7200540540540541,0.49946875,14.483232558139536,14.711627906976743,0.501906976744186,0.5411860465116278,1.0,0.19906976744186047,98.16767441860468,96.49418604651163,80.41186046511626,97.20930232558139,0.5379999999999999,0.2794186046511628,0.4870232558139535,0.25360465116279063,0.15593023255813956,0.27937209302325583,18.558139534883722,14.116279069767442,13.116279069767442,41.06976744186046,15.86046511627907,12.209302325581396,10.279069767441861,39.02325581395349,4.5813953488372094,20.348837209302324,0.7325116279069768,0.26758139534883724,0.6002790697674419,0.1996046511627907,0.22639534883720933,0.12704651162790698,0.17325581395348835,0.18137209302325583,0.40065116279069773,0.4706976744186048,0.5293488372093021,0.8306511627906977,0.16934883720930233,0.5426744186046512,0.4573255813953489,17.0,41500116,18.0,IND vs. TOR
41500116,42015,1610612754,IND,Indiana Pacers,2016-04-29,IND vs. TOR,W,102.38636363636364,38.38636363636363,84.3409090909091,0.45547727272727273,7.863636363636363,22.59090909090909,0.34575,17.75,23.295454545454547,0.7607954545454546,10.386363636363637,33.93181818181818,44.31818181818182,20.977272727272727,9.0,4.7727272727272725,13.931818181818182,18.704545454545453,103.97272727272728,105.47500000000001,99.27727272727272,101.18181818181819,4.6931818181818175,4.306818181818181,0.5439772727272728,1.5613636363636365,16.038636363636368,0.21272727272727268,0.7175000000000001,0.4996363636363636,14.509818181818183,14.73181818181818,0.5021590909090909,0.5420227272727272,1.0,0.19911363636363638,97.99840909090912,96.33522727272727,80.27931818181817,97.04545454545455,0.5414090909090908,0.28084090909090914,0.4855909090909091,0.25502272727272723,0.15659090909090911,0.2815909090909091,18.59090909090909,13.977272727272727,13.295454545454545,41.0,15.772727272727273,12.477272727272727,10.340909090909092,38.86363636363637,4.590909090909091,20.40909090909091,0.7320227272727273,0.26806818181818187,0.5987954545454546,0.1986590909090909,0.22665909090909092,0.12888636363636363,0.1745,0.18175000000000002,0.40009090909090916,0.47179545454545463,0.5282499999999999,0.831659090909091,0.1683409090909091,0.5439772727272728,0.4560227272727273,18.0,0,100.0,last_game
21500020,22015,1610612746,LAC,LA Clippers,2015-10-29,LAC vs. DAL,W,104.0,38.0,87.0,0.43700000000000006,8.0,31.0,0.258,20.0,33.0,0.606,8.0,45.0,53.0,21.0,6.0,8.0,8.0,17.0,102.4,103.0,85.8,87.1,16.7,15.8,0.5529999999999999,2.63,16.1,0.14800000000000002,0.75,0.508,7.88,7.9,0.483,0.512,1.0,0.203,102.06,101.0,84.17,101.0,0.622,0.379,0.392,0.155,0.127,0.25,14.0,11.0,18.0,40.0,6.0,12.0,8.0,36.0,2.0,26.0,0.644,0.35600000000000004,0.5770000000000001,0.192,0.231,0.173,0.192,0.135,0.385,0.5329999999999999,0.467,0.625,0.375,0.5529999999999999,0.447,16.0,21500038,5.0,LAC vs. SAC
21500038,22015,1610612746,LAC,LA Clippers,2015-10-31,LAC vs. SAC,W,109.0,38.5,81.5,0.47500000000000003,6.0,24.0,0.2465,26.0,39.5,0.651,7.0,40.0,47.0,23.0,5.0,8.5,12.5,19.5,104.35,105.25,93.85,95.94999999999999,10.55,9.25,0.597,2.05,17.1,0.14200000000000002,0.6925,0.4925,11.866,11.95,0.511,0.552,1.0,0.2015,104.59,103.0,85.83500000000001,103.5,0.6094999999999999,0.492,0.4235,0.2015,0.129,0.3075,15.0,12.5,13.0,46.0,16.0,15.0,9.0,43.0,2.0,30.0,0.71,0.29000000000000004,0.5955,0.175,0.168,0.1215,0.23650000000000002,0.1375,0.4205,0.595,0.405,0.5625,0.4375,0.597,0.403,5.0,21500052,6.0,LAC vs. PHX
21500052,22015,1610612746,LAC,LA Clippers,2015-11-02,LAC vs. PHX,W,106.66666666666667,38.0,81.33333333333333,0.46900000000000003,6.666666666666667,24.666666666666668,0.26699999999999996,24.0,34.0,0.7240000000000001,5.666666666666667,41.0,46.666666666666664,22.0,4.666666666666667,7.333333333333333,12.0,19.0,103.86666666666667,104.86666666666667,94.16666666666667,96.3,9.733333333333334,8.533333333333333,0.5783333333333333,1.9733333333333334,16.866666666666667,0.11633333333333334,0.6873333333333335,0.4723333333333333,11.61,11.699999999999998,0.5093333333333333,0.5546666666666668,1.0,0.20033333333333334,103.12,101.5,84.58333333333333,101.66666666666667,0.5926666666666666,0.4226666666666667,0.42,0.20566666666666666,0.119,0.31266666666666665,13.666666666666666,9.666666666666666,13.0,42.0,14.0,16.0,10.333333333333334,44.0,1.6666666666666667,26.666666666666668,0.6996666666666668,0.30033333333333334,0.5866666666666667,0.19499999999999998,0.19033333333333333,0.12333333333333334,0.223,0.12766666666666668,0.3913333333333333,0.5459999999999999,0.454,0.6666666666666666,0.3333333333333333,0.5783333333333333,0.4216666666666667,6.0,21500093,-4.0,LAC vs. HOU
21500093,22015,1610612746,LAC,LA Clippers,2015-11-07,LAC vs. HOU,L,106.25,39.0,83.0,0.47100000000000003,6.0,24.0,0.24574999999999997,22.25,31.75,0.7130000000000001,7.0,38.25,45.25,23.75,5.5,6.75,12.0,20.0,104.15,105.17500000000001,97.4,99.475,6.775,5.675000000000001,0.60625,2.085,17.825,0.14125000000000001,0.6905000000000001,0.473,11.7075,11.799999999999999,0.507,0.5485,1.0,0.20024999999999998,102.56,101.0,84.1675,101.0,0.5752499999999999,0.388,0.43574999999999997,0.2385,0.12375,0.3095,15.25,10.25,12.25,45.5,12.75,15.75,13.25,46.5,2.0,26.75,0.71225,0.28775,0.621,0.19374999999999998,0.17124999999999999,0.11624999999999999,0.20775000000000002,0.14325,0.42674999999999996,0.574,0.42600000000000005,0.75,0.25,0.60625,0.39375000000000004,-4.0,21500105,2.0,LAC vs. MEM
